epoch,acc,loss,val_acc,val_loss
0,0.12074212654566834,377.17653228122612,0.144878740505063,363.50808792663133
1,0.1079290444409072,301.29354768867023,0.080920977781502174,310.54333688200808
2,0.096206946433473758,270.74541453981044,0.087879696088157391,301.59238260026746
0,0.071678571030497545,743.51528137207026,0.27267857223749159,734.12443908691409
1,0.092250000163912771,758.21848388671879,0.38921428680419923,717.10784545898434
2,0.11171428516507148,658.2535278320313,0.43224999964237215,701.40126708984371
3,0.084446428418159483,703.26944213867182,0.21901785850524902,714.58327148437502
4,0.069785714037716384,503.32874359130858,0.34544642746448517,661.14675964355467
0,0.077392856329679488,539.75039550781253,0.42707142889499666,543.32424835205074
1,0.12841071411967278,488.63166961669924,0.31935714304447171,518.60750366210937
